"id","number","unit_number","amount"
"40761941","Completed by AFE Admin","HC11110","4500.00"
"35083555","10178","HC80003","5600.00"
"39366027","10299","HC90037","280000.00"
"38989514","10288","N72197","2600.00"
"38800675","10280","HC17098","3250.00"
"38630358","10278","HC12008","12500.00"
"38504235","10267","7595","6500.00"
"37620753","AFE Request NOT approved","N75707","22500.00"
"37566189","10251","N90188","10000.00"
"37497441","10254","HC90022","47500.00"
"35928092","10209","HC15093","96500.00"
"35545116","10186","N805210","30250.00"
"27646039","10063","N76418","2600.00"
"36178106","10232","111015","24000.00"
"35929822","10221","N805325","30250.00"
"35926783","10196","HC90060","97500.00"
"40693637","10352","RC0915","1350.00"
"39151815","10294","HC15093","20000.00"
"38625655","10277","HC15093","64000.00"
"37458013","10248","N224505","7000.00"
"35935068","10228","7554","24857.00"
"35935015","10227","N400952","24857.00"
"34927441","10176","N11622","13288.00"
"39135030","10293","HC19503","10000.00"
"38877647","10287","N200973","6000.00"
"38871369","10286","HC90057","10000.00"
"38814873","10285","HC4061","3709.00"
"38616874","10276","HC90072","2269.00"
"38569109","10273","HC90167","4797.00"
"38406288","10274","HC4026","4863.00"
"38353122","10266","HC90167","4589.00"
"37516164","10250","HC90028","15000.00"
"37499801","10252","HC13067","14000.00"
"37289720","10247","HC19714","81038.00"
"37170350","10244","HC90051","20000.00"
"35929796","10220","8305","24857.00"
"35929632","10219","N805553","30250.00"
"39194297","10296","HC90078","48000.00"
"35926725","10195","HC90041","93333.00"
"27645927","10062","N11917","2600.00"
"27631369","10061","317","29900.00"
"40594859","10346","HC90015","15000.00"
"38813801","10284","N4309","3000.00"
"38336971","10270","N12219","2396.01"
"37498333","Completed by AFE Admin","HC90121","272000.00"
"37142996","10243","N500920","15000.00"
"36941526","10240","N90180","17754.89"
"36928218","10238","N73768","7000.00"
"36450305","10237","HC15197","35220.01"
"35929602","10218","HC90009","93333.00"
"35928894","10217","HC4042","30250.00"
"35928026","10208","HC3003","30250.00"
"35927585","10202","HC4049","30250.00"
"35927523","10201","HC4003","30250.00"
"35926660","10194","HC12024","96500.00"
"34765407","10174","HC90022","18000.00"
"34317134","10173","N4309","9025.00"
"26519288","10035","N805313","3900.00"
"40549071","10344","N12225","2600.00"
"38284639","10263","81006","8248.00"
"37131633","10242","HC90104","8000.00"
"36433851","10236","HC90010","40000.00"
"35926494","10193","HC12023","96500.00"
"35362887","10184","HC19319","53000.00"
"35299303","10183","N400228","5400.00"
"34153619","10172","HC90080","6000.00"
"26519210","10034","N500921","3900.00"
"39134965","10292","HC90011","8000.00"
"38561723","10272","HC15029","2230.33"
"35934991","10226","N8433","26563.00"
"35934957","10225","N800914","24857.00"
"35930159","10224","N70948","24857.00"
"40378505","10342","N11371","5500.00"
"40277812","10339","HC21405","13000.00"
"39134890","10291","HC18097","2500.00"
"39124575","10290","HC90086","3800.00"
"38804522","10283","N9014","5000.00"
"38800893","10282","HC10149","1800.00"
"38533979","10271","HC90043","8910.00"
"38232895","10264","HC11277","6463.00"
"37497771","Completed by AFE Admin","HC90123","267000.00"
"35928865","10216","HC4037","30250.00"
"35927209","10199","HC4049","30250.00"
"35927132","10198","HC4048","30250.00"
"35244864","10182","HC4008","40000.00"
"35244665","10181","HC90051","9000.00"
"35134513","10180","N811400","5000.00"
"34026956","10171","N12325","8308.60"
"40762072","Completed by AFE Admin","HC15017","3850.00"
"38232714","10265","HC90125","7426.10"
"37085270","10241","N90182","5000.00"
"36307403","10235","HC13067","30388.23"
"36226452","10234","HC21303","25910.00"
"36208007","10233","N4965","6099.00"
"35926874","10197","HC4058","30250.00"
"39437088","10300","7596","6000.00"
"35929865","10222","N12222","24857.00"
"35928439","10210","HC15186","96500.00"
"35926194","10192","HC12009","96500.00"
"35786475","10188","HC21405","50000.00"
"39075348","10289","N301773","5500.00"
"35602425","10187","N9006","8999.00"
"35114167","10179","HC90098","12250.00"
"33032204","10152","HC11046","9800.00"
"25191593","10009","HC90001","11550.00"
"27595721","10059","HC19919","150000.00"
"27086543","10043","HC11042","5250.00"
"29920392","Completed by AFE Admin","N11335","38500.00"
"29479158","10101","HC90108","4750.00"
"28940522","10091","HC20314","13000.00"
"28475538","10078","HC80009","4700.00"
"26518987","10031","N11100","3900.00"
"26518885","10030","N805572","3900.00"
"40615608","10347","HC21401","30000.00"
"33261489","10157","HC90123","23890.23"
"31701713","10142","31006","11300.00"
"30960552","10133","HC18097","54685.00"
"28788822","10089","N7385","11750.00"
"33923549","10168","HC4037","10430.00"
"33219984","10154","HC11283","5800.00"
"29884782","Completed by AFE Admin","HC15196","60500.00"
"28334413","10077","HC11037","4599.00"
"40550137","10345","N76414","4500.00"
"33709474","10166","HC4034","10000.00"
"31540231","10155","N90188","45001.00"
"40383078","10343","HC90042","7200.00"
"30933108","10131","RTL350","12500.00"
"29439630","10100","N800914","13689.00"
"27528368","10058","N12531","7218.00"
"26991291","10042","N11100","5000.00"
