"unit_number","name","value","timestamp"
"HC10149","Hour Meter","26563","2024-05-31 16:01:06.602698+00"
"HC10149","Engine Speed","0","2024-05-31 16:01:06.602698+00"
"HC10149","Ignition Voltage","0.0","2024-05-31 16:01:06.602698+00"
"HC10149","Run Status","HIGH COOLER VIBRATION","2024-05-31 16:01:06.602698+00"
"HC10149","Internal Battery Voltage","6.3","2024-05-31 16:01:06.602698+00"
"HC10149","External DC Voltage","24.9","2024-05-31 16:01:06.602698+00"
"HC10149","Skid - Current Operating State Code","HIGH COOLER VIBRATION","2024-05-31 13:41:41.403724+00"
"HC10149","Skid - Status","Stopped","2024-05-31 13:41:41.403724+00"
"HC10149","Skid - Timestamp","1717162877.0","2024-05-31 13:41:41.403724+00"
"HC10149","Skid - Last Stop Code","HIGH COOLER VIBRATION","2024-05-31 13:41:41.403724+00"
"HC10149","Skid - Shutdown","HIGH COOLER VIBRATION","2024-05-31 13:41:38.008353+00"
"HC10149","Cellular Signal Bars","3","2024-05-31 00:07:58.98264+00"
"HC10149","RSRQ","-7","2024-05-31 00:07:58.98264+00"
"HC10149","Cell Mode","4G","2024-05-31 00:07:58.98264+00"
"HC10149","Cell Modem Restarts","18","2024-05-31 00:07:58.98264+00"
"HC10149","RSRP","-92","2024-05-31 00:07:58.98264+00"
"HC10149","Cell Modem Status","Modem Ready","2024-05-31 00:07:58.98264+00"
"HC10149","RSSI","-63","2024-05-31 00:07:58.98264+00"
"HC10149","Connected Satellites","12","2024-05-31 00:06:47.991964+00"
"HC10149","GPS Status","Reported Position is Current","2024-05-31 00:06:47.991964+00"
"HC10149","Altitude","2868.4","2024-05-31 00:06:47.991964+00"
"HC10149","Latitude","31.0520905","2024-05-31 00:06:47.991964+00"
"HC10149","Longitude","-103.2526890","2024-05-31 00:06:47.991964+00"
"HC10149","Run Count","0","2024-05-31 00:06:46.620209+00"
"HC10149","Version Major","5","2024-05-31 00:06:46.620209+00"
"HC10149","Version Minor","1","2024-05-31 00:06:46.620209+00"
"HC10149","Active Carrier","Verizon","2024-05-31 00:06:46.620209+00"
"HC10149","Version Revision","8","2024-05-31 00:06:46.620209+00"
"HC10149","Last System Reboot","1716559587.0","2024-05-31 00:06:46.620209+00"
"HC10149","Modem Temp Warning Level","Normal Temperature","2024-05-31 00:06:46.620209+00"
"HC10149","Modem Temperature","122","2024-05-31 00:06:46.620209+00"
"HC10149","Version Build","10","2024-05-31 00:06:46.620209+00"
"HC10149","Carrier Options","ATT, Verizon, and Iridium","2024-05-31 00:06:46.620209+00"
"HC10149","ETM @ SD1","26563","2024-05-30 01:12:26.700297+00"
"HC10149","Comp SD Hist 5","MANUAL STOP","2024-05-30 01:12:26.700297+00"
"HC10149","Underspeed Setting","650","2024-05-30 01:12:26.700297+00"
"HC10149","Comp SD Hist 3","MANUAL STOP","2024-05-30 01:12:26.700297+00"
"HC10149","Overspeed Setting","1850","2024-05-30 01:12:26.700297+00"
"HC10149","Comp SD Hist 2","MANUAL STOP","2024-05-30 01:12:26.700297+00"
"HC10149","PSU-X Firmware","9.6","2024-05-30 01:12:26.700297+00"
"HC10149","Comp SD Hist 1","HIGH COOLER VIBRATION","2024-05-30 01:12:26.700297+00"
"HC10149","Comp SD Hist 4","HIGH SUCTION PRESSURE","2024-05-30 01:12:26.700297+00"
"HC10149","Derived Run Status","Running","2024-03-06 17:33:45.522+00"
"HC10149","Derived Stop Status","Not Stopped (Running, Warmup, or Cooldown)","2024-03-06 17:33:45.522+00"
"HC11031","Engine Speed","1723","2024-05-31 16:31:57.667841+00"
"HC11031","Ignition Voltage","100.7","2024-05-31 16:01:13.747281+00"
"HC11031","Hour Meter","15883","2024-05-31 16:01:13.747281+00"
"HC11031","Internal Battery Voltage","6.2","2024-05-31 16:01:13.747281+00"
"HC11031","External DC Voltage","27.4","2024-05-31 16:01:13.747281+00"
"HC11031","Cell Mode","4G","2024-05-31 00:07:17.716104+00"
"HC11031","Cell Modem Status","Modem Ready","2024-05-31 00:07:17.716104+00"
"HC11031","RSSI","-73","2024-05-31 00:07:17.716104+00"
"HC11031","Cell Modem Restarts","0","2024-05-31 00:07:17.716104+00"
"HC11031","RSRQ","-6","2024-05-31 00:07:17.716104+00"
"HC11031","RSRP","-99","2024-05-31 00:07:17.716104+00"
"HC11031","Cellular Signal Bars","3","2024-05-31 00:07:17.716104+00"
"HC11031","Connected Satellites","10","2024-05-31 00:06:34.379975+00"
"HC11031","Longitude","-97.5752215","2024-05-31 00:06:34.379975+00"
"HC11031","GPS Status","Reported Position is Current","2024-05-31 00:06:34.379975+00"
"HC11031","Altitude","1231.6","2024-05-31 00:06:34.379975+00"
"HC11031","Latitude","35.0869275","2024-05-31 00:06:34.379975+00"
"HC11031","Run Count","0","2024-05-31 00:06:32.884925+00"
"HC11031","Version Revision","13","2024-05-31 00:06:32.884925+00"
"HC11031","Active Carrier","Verizon","2024-05-31 00:06:32.884925+00"
"HC11031","Version Build","10","2024-05-31 00:06:32.884925+00"
"HC11031","Modem Temp Warning Level","Normal Temperature","2024-05-31 00:06:32.884925+00"
"HC11031","Modem Temperature","100","2024-05-31 00:06:32.884925+00"
"HC11031","Carrier Options","ATT, Verizon, and Iridium","2024-05-31 00:06:32.884925+00"
"HC11031","Last System Reboot","1716929709.0","2024-05-31 00:06:32.884925+00"
"HC11031","Version Major","5","2024-05-31 00:06:32.884925+00"
"HC11031","Version Minor","1","2024-05-31 00:06:32.884925+00"
"HC11031","Skid - Status","Running (latched)","2024-05-28 20:55:51.248402+00"
"HC11031","Skid - Last Stop Code","Normal Operation","2024-05-28 20:55:49.862766+00"
"HC11031","Skid - Timestamp","1716929742.0","2024-05-28 20:55:49.862766+00"
"HC11031","Skid - Current Operating State Code","Normal Operation","2024-05-28 20:55:49.862766+00"
"HC11031","Comp SD Hist 1","Overspeed","2024-05-28 20:55:32.352577+00"
"HC11031","ETM @ SD1","15694","2024-05-28 20:55:32.352577+00"
"HC11031","Comp SD Hist 2","Underspeed","2024-05-28 20:55:32.352577+00"
"HC11031","Comp SD Hist 5","Overspeed","2024-05-28 20:55:32.352577+00"
"HC11031","Comp SD Hist 3","TDXM Shutdown SP3","2024-05-28 20:55:32.352577+00"
"HC11031","Comp SD Hist 4","Manual Stop","2024-05-28 20:55:32.352577+00"
"HC11031","Overspeed Setting","1850","2024-05-28 20:55:32.352577+00"
"HC11031","Underspeed Setting","400","2024-05-28 20:55:32.352577+00"
"HC11031","PSU-X Firmware","9.6","2024-05-28 20:55:32.352577+00"
"HC11031","Run Status","Normal Operation","2024-05-28 20:55:32.352577+00"
"HC11031","Skid - Shutdown","Normal Operation","2024-05-23 17:08:11.856507+00"
"HC11031","Class B1 Timer","0","2024-01-28 21:18:18.679+00"
"HC11077","Engine Speed","0","2024-05-31 16:31:56.304045+00"
"HC11077","External DC Voltage","26.7","2024-05-31 16:01:10.669642+00"
"HC11077","Ignition Voltage","0.0","2024-05-31 16:01:10.669642+00"
"HC11077","Internal Battery Voltage","2.1","2024-05-31 16:01:10.669642+00"
"HC11077","RSRQ","-10","2024-05-31 00:08:03.358896+00"
"HC11077","Cell Mode","4G","2024-05-31 00:08:03.358896+00"
"HC11077","RSRP","-90","2024-05-31 00:08:03.358896+00"
"HC11077","Cell Modem Restarts","36","2024-05-31 00:08:03.358896+00"
"HC11077","Cellular Signal Bars","3","2024-05-31 00:08:03.358896+00"
"HC11077","Cell Modem Status","Modem Ready","2024-05-31 00:08:03.358896+00"
"HC11077","RSSI","-65","2024-05-31 00:08:03.358896+00"
"HC11077","Longitude","-103.2123930","2024-05-31 00:08:01.870472+00"
"HC11077","Connected Satellites","12","2024-05-31 00:08:01.870472+00"
"HC11077","Altitude","2709.0","2024-05-31 00:08:01.870472+00"
"HC11077","GPS Status","Reported Position is Current","2024-05-31 00:08:01.870472+00"
"HC11077","Latitude","31.2023673","2024-05-31 00:08:01.870472+00"
"HC11077","Version Major","5","2024-05-31 00:08:00.470016+00"
"HC11077","Run Count","0","2024-05-31 00:08:00.470016+00"
"HC11077","Version Revision","8","2024-05-31 00:08:00.470016+00"
"HC11077","Last System Reboot","1716200932.0","2024-05-31 00:08:00.470016+00"
"HC11077","Version Build","10","2024-05-31 00:08:00.470016+00"
"HC11077","Modem Temp Warning Level","Normal Temperature","2024-05-31 00:08:00.470016+00"
"HC11077","Active Carrier","Verizon","2024-05-31 00:08:00.470016+00"
"HC11077","Modem Temperature","122","2024-05-31 00:08:00.470016+00"
"HC11077","Carrier Options","ATT, Verizon, and Iridium","2024-05-31 00:08:00.470016+00"
"HC11077","Version Minor","1","2024-05-31 00:08:00.470016+00"
"HC11077","Skid - Last Stop Code","Normal Operation","2024-05-20 10:29:36.745854+00"
"HC11077","Skid - Current Operating State Code","Normal Operation","2024-05-20 10:29:36.745854+00"
"HC11077","Skid - Timestamp","1716200964.0","2024-05-20 10:29:36.745854+00"
"HC11077","Skid - Status","Running (latched)","2024-05-20 10:29:36.745854+00"
"HC11077","Comp SD Hist 1","SD/Event Number 261","2024-05-20 10:29:14.826652+00"
"HC11077","PSU-X Firmware","9.1","2024-05-20 10:29:14.826652+00"
"HC11077","Comp SD Hist 3","SD/Event Number 296","2024-05-20 10:29:14.826652+00"
"HC11077","Comp SD Hist 4","SD/Event Number 257","2024-05-20 10:29:14.826652+00"
"HC11077","Overspeed Setting","1795","2024-05-20 10:29:14.826652+00"
"HC11077","Comp SD Hist 2","SD/Event Number 257","2024-05-20 10:29:14.826652+00"
"HC11077","Comp SD Hist 5","SD/Event Number 275","2024-05-20 10:29:14.826652+00"
"HC11077","Run Status","Normal Operation","2024-05-20 10:29:14.826652+00"
"HC11077","Underspeed Setting","0","2024-05-20 10:29:14.826652+00"
"HC11077","Skid - Shutdown","Normal Operation","2024-04-10 20:35:23.603993+00"
"HC11077","Derived Stop Status","Not Stopped (Running, Warmup, or Cooldown)","2024-01-31 17:00:17.918+00"
"HC11077","Derived Run Status","Running","2024-01-31 17:00:17.918+00"
