"id","item_number","description","cost","mode","type","active"
"10","7/8X6CW/NUT","7/8 X 6 B7 CAD PLATED STUD BOL",NULL,"CONSUMABLE","inventoryitem",True
"100","0R-2138","CYL HEAD 3304 SHORT VALVE","1403.02","HEAD PROGRAM","inventoryitem",True
"1000","2W-5713","ADAPTER","484.96","ENGINE PROGRAM","inventoryitem",True
"10000","M206279","GASKET","1.47",NULL,"inventoryitem",True
"10001","2L4186","UPDATE",NULL,NULL,"inventoryitem",True
"10002","61-2501","61-2501",NULL,"Admin","inventoryitem",False
"10004","BW5070","COOLANT SPIN-ON WITH BTA PLUS FORMULA","8.76",NULL,"inventoryitem",True
"10005","6F5985","CAT: MEDIUM PRESSURE HYDRAULIC HOSE ASSEMBLY","146.94",NULL,"inventoryitem",True
"10006","449-8062","CAT; INSTILLATION PLATE, PLE601 TELEMETRY ","276.52","CONSUMABLE","inventoryitem",True
"10007","449-8063","449-8063","52.6",NULL,"inventoryitem",True
"10008","61-2502","61-2502",NULL,"Admin","inventoryitem",False
"10009","A20A03GV","HYDRAULIC FILTER","140.2",NULL,"inventoryitem",True
"1001","2W-6083","KIT GASKET PRELUBE MOTOR 3500","21.38","CONSUMABLE","inventoryitem",True
"10012","ipd1118015","GASKET, CYLINDER HEAD, 3306","58.17",NULL,"inventoryitem",True
"10013","7W-4111","7W-4111","1405.76",NULL,"inventoryitem",True
"10014","1W-2639","CAT: 224MM LONG HEAT EXCHANGER ADAPTER","762.3",NULL,"inventoryitem",True
"10015","328-2630","328-2630","589.75",NULL,"inventoryitem",True
"10016","8N-6432","8N-6432","450.46",NULL,"inventoryitem",True
"10017","USED CG137 TECH JET","UNKNOWN; CAN'T FIND; DNI",NULL,NULL,"inventoryitem",True
"10018","H304 CYLINDER INNER HEAD","H304 CYLINDER INNER HEAD",NULL,NULL,"inventoryitem",True
"10019","VARIABLE POCKET INCOMPLETE","UNKNOWN; CAN'T FIND; DNI",NULL,NULL,"inventoryitem",True
"1002","2W-6134","BANDG3306",NULL,"CONSUMABLE","inventoryitem",True
