"id","date","observerId","startWorkTimestamp","stopWorkTimestamp","operationCodes","operationCodesThirdParty","unitNumber","functionPerformed","region","whatWasFound","whatWasPerformed","engineHours","hoursWorked","shopOperationCodes"
"41756313","2024-06-06 15:09:03","64be9293d251fd0a92ec5882","2024-06-06 12:00:00","2024-06-06 15:07:00","2002 - Call-out Repair/Maintenance (Non-scheduled)",NULL,"N90185","Field","Pecos","Bad valves and no kits ","Call out ",6225,"3.13",NULL
"41754728","2024-06-06 15:07:27","621d02f4b1acc9410c52a310","2024-06-06 12:30:00","2024-06-06 15:00:00","1007 - Indirect Time",NULL,NULL,"Field","South Texas",NULL,NULL,0,"2.49",NULL
"41753479","2024-06-06 14:56:10","621d02f4b1acc9410c52a30f","2024-06-06 13:40:00","2024-06-06 14:40:00","2002 - Call-out Repair/Maintenance (Non-scheduled)",NULL,"N7711","Field","Midcon",NULL,"Drove to unit. Pulled each line from check and made sure living and check valve working properly. Checked lube rate. Checked kill setting. Fixed kill from vibrating badly. Adjusted suction kill. Informed pumper. ",17842,"0.98",NULL
"41752791","2024-06-06 14:52:56","6349743f4ec5e26805f57cd9","2024-06-05 12:00:00","2024-06-05 20:00:00",NULL,NULL,NULL,"Paid Time Off (PTO)","East Texas",NULL,NULL,0,"8",NULL
"41751161","2024-06-06 14:32:16","663ce2438918890025bb34b3","2024-06-05 11:40:00","2024-06-05 23:40:00","2001 - Corrective Maintenance (Scheduled)",NULL,"N224503","Field","North Permian",NULL,"Puck up ice and water at the shop , went to location , unit was inspected ,and parameters were adjusted accordingly. Unit kept turning off . Assisted Akim. ",10324,"12",NULL
"41750283","2024-06-06 14:16:51","621d02f4b1acc9410c52a30f","2024-06-06 11:55:00","2024-06-06 13:40:00","2002 - Call-out Repair/Maintenance (Non-scheduled)",NULL,"RC0702","Field","Midcon",NULL,"Refueled truck then drove to unit. Shut off fuel. Pulled carburetor. Cleaned diaphragm. Cleaned carburetor like new. Reinstalled carb. Checked linkage for any binding but moved smooth. Purged unit and started. Sped unit and loaded. Monitored RPMs and noticed only swinging with suction swing but not erratic. ",25847,"1.76",NULL
"41749673","2024-06-06 14:06:14","621d02f4b1acc9410c52a2dd","2024-06-05 12:00:00","2024-06-05 20:30:00",NULL,NULL,"HC90015","Shop","East Texas",NULL,"Assemble clean parts ",0,"8","3001 - Make Ready"
"41749441","2024-06-06 14:02:18","66300486070ea4001e4b67bd","2024-06-05 11:40:00","2024-06-05 23:40:00","2001 - Corrective Maintenance (Scheduled)",NULL,"N224503","Field","North Permian",NULL,"Drove to shop,got water and ice did my trailer backing test.and headed to cross bar. Unit was inspected and the parameters were adjusted accordingly.unit kept going down on high winding temps. So we continuously monitored the united and made she it didn’t go down again.",10324,"12",NULL
"41747436","2024-06-06 13:38:08","6548fc694e7f89001a9641c3","2024-06-05 21:00:00","2024-06-06 01:00:00","2001 - Corrective Maintenance (Scheduled)",NULL,"HC90167","Field","South Permian",NULL,"Stared up unit had gone down on detonation ",22308,"4",NULL
"41747164","2024-06-06 13:33:38","655b7633cc25eb005841560d","2024-06-05 19:23:00","2024-06-05 22:00:00","2000 - Routine Maintenance (Scheduled)",NULL,"216","Field","East Texas",NULL,"Pm",25108,"2.61",NULL
"41746152","2024-06-06 13:19:29","646281a18444142406373297","2024-06-06 11:54:00","2024-06-06 13:19:00","2002 - Call-out Repair/Maintenance (Non-scheduled)",NULL,"HC90067","Field","Midcon",NULL,"Arrived at location put coolant into radiator started unit noticed pin hole in hose replaced hose started unit let unit warm up unit BOL",42764,"1.41",NULL
"41745275","2024-06-06 13:08:25","62d99de25c39b5003fe9cc89","2024-06-05 12:56:00","2024-06-05 22:36:00",NULL,NULL,NULL,"Administrative",NULL,NULL,NULL,0,"9.12",NULL
"41744939","2024-06-06 13:04:24","64e61f0cecacbe6938dbe730","2024-06-03 13:00:00","2024-06-03 21:00:00",NULL,NULL,NULL,"Paid Time Off (PTO)","Midcon",NULL,NULL,0,"8",NULL
"41744850","2024-06-06 13:03:11","63b44b10651be716f4938155","2024-06-06 00:00:00","2024-06-06 03:30:00","2002 - Call-out Repair/Maintenance (Non-scheduled)",NULL,"N22302","Field","Carlsbad",NULL,"Arrived on site and was able to start and load unit with no problem. Went through power and ground connections in panel and found a loose power connection and tightened it back up ",12227,"3.5",NULL
"41744122","2024-06-06 12:52:39","62accd1c33a91b3ce662516a","2024-06-05 16:00:00","2024-06-05 20:30:00",NULL,NULL,"N200946","Shop","East Texas",NULL,"Look over unit, make parts list for unit. ",0,"4.5","3001 - Make Ready"
"41744002","2024-06-06 12:50:54","62accd1c33a91b3ce662516a","2024-06-05 12:00:00","2024-06-05 16:00:00",NULL,NULL,"7692","Shop","East Texas",NULL,"Finish alignment, go pick up parts and deliver to Cary ",0,"4","3001 - Make Ready"
"41743435","2024-06-06 12:49:52","62accd1c33a91b3ce662516a","2024-06-04 12:00:00","2024-06-04 20:30:00",NULL,NULL,"N704084","Shop","East Texas",NULL,"Move unit into the shop, Remove PRVs from unit and inspect unit ",0,"8.5","3001 - Make Ready"
"41743345","2024-06-06 12:48:28","62accd1c33a91b3ce662516a","2024-06-03 16:30:00","2024-06-03 21:00:00",NULL,NULL,"HC21405","Shop","East Texas",NULL,"Clean engine parts ",0,"4.5","3008 - Make Ready - Zero Hour"
"41743229","2024-06-06 12:47:03","62accd1c33a91b3ce662516a","2024-06-03 12:00:00","2024-06-03 16:30:00",NULL,NULL,"7692","Shop","East Texas",NULL,"Finish rebuilding compressor frame and set back on skid ",0,"4.5","3001 - Make Ready"
"41741885","2024-06-06 12:30:37","635186dc68fcfc0bd238a0f1","2024-06-05 12:13:00","2024-06-05 21:05:00",NULL,NULL,NULL,"Administrative",NULL,NULL,NULL,0,"8.87",NULL
"41737734","2024-06-05 21:28:09","621d02f3b1acc9410c52a2c5","2024-06-05 15:22:00","2024-06-05 21:23:00","2001 - Corrective Maintenance (Scheduled)",NULL,"91008","Field","South Texas","Bad cooler fan shaft bearings","Removed cooler fan guard, cooler fan, pillow block beard and shaft, removed bad bearings from shaft, cleaned shaft, met parts rubber with new bearings and they were the wrong part, will put everything back together first thing in the morning with correct part",53732,"6.01",NULL
