"status","unit_number","customer","location","county","state","engine","engine_family","engine_serial_num","afr","catalyst","catalyst_mm","oem_hp","nova_hp","engine_rpm","frame_rpm","compressor_frame","compressor_frame_family","compressor_frame_sn","stages","cylinder_size","package_mfg_date","engine_mfg_date","zero_hour_date","compressor_frame_rebuild","top_end","oil_provider","telemetry","coordinates","trailer_unit","unit_set_date","billing_start_date","billing_end_date","last_billing_date","on_off_contract","mtm_last_price_increase","salesperson","contract_type_tax","contract_type_oil","monthly_rate","recurring_discount","sales_tax","ad_valorem_heit","net_revenue","day_rate","origin","acq_eff_date","owned_leased","operational_region","finance_region","unit_profile_update_date","financial_sku","oem_hp_tranche","bd_comments","ops_comments","set_week","release_week"
"RENTED","2197","VALENCE OPERATING CO","IVY A SOUR","FREESTONE","TX","CATERPILLAR - G3306NA","G3306NA","07Y00928",NULL,"NO",NULL,"145","130","1800",NULL,"ARIEL - JGP2","JGP2","F2611","2","5.125 X 3.0","1981-12-01 00:00:00","1981-12-01 00:00:00","2015-06-23 08:21:00","2020-07-01 00:00:00","2015-06-23 08:21:00","ATLAS",NULL,"32.964397,-93.350616","NO","2022-08-05 00:00:00","2023-08-11 00:00:00","2024-08-10 00:00:00",NULL,"ON","ON CONTRACT","DONNIS LEWIS","RENTAL","WET","4050","0","0","0","4050","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","SOUTH TEXAS","SOUTH TEXAS",NULL,"G3306NA-JGP2-2","101-400","CONTRACT RENEWS FOR 12-MONTHS EVERY YEAR UNLESS 30-DAY NOTICE GIVEN",NULL,NULL,NULL
"RENTED","2202","TGNR TVL LLC","LUMCFS2-11 HC1","LINCOLN","LA","CATERPILLAR - G3306NA","G3306NA","G6X07470",NULL,"NO",NULL,"145","130","1800",NULL,"ARIEL - JGM2","JGM2","F2612","2","5.125 X 3.0","1981-12-01 00:00:00","2011-07-20 00:00:00","2022-09-08 00:00:00","2004-03-24 00:00:00","2022-09-08 00:00:00","ATLAS",NULL,"32.578838,-92.750206","NO",NULL,"2022-09-01 00:00:00","2023-08-31 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","2556","0","0","0","2556","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"G3306NA-JGM2-2","101-400",NULL,NULL,NULL,NULL
"RENTED","4056","SABINE OIL & GAS CORPORATION","FOOTE 3H","HARRISON","TX","CATERPILLAR - G3306TAA","G3306TAA","07Y02091","EMIT EDGE NG ","NO",NULL,"203","171","1800",NULL,"GEMINI - H302","H302","C4557","2","6.5 X 3.5","1990-02-01 00:00:00","1990-02-01 00:00:00","2023-09-06 00:00:00","2020-11-18 00:00:00","2023-09-06 00:00:00","ATLAS",NULL,"32.346954,-94.47596","NO",NULL,"2023-07-01 00:00:00","2024-06-30 00:00:00",NULL,"ON","ON CONTRACT","DONNIS LEWIS","RENTAL","WET","3750","0","0","0","3750","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"G3306TAA-H302-2","101-400",NULL,NULL,NULL,NULL
"RENTED","7101","NADEL & GUSSMAN RUSTON LLC","EVANS J LOCATION","LINCOLN","LA","WAUKESHA - F817GU","F817GU","MISSING2",NULL,"NO",NULL,"125","102","1400",NULL,"GEMINI - MPD","MPD","C2632","2","5.0 X 2.5","1986-06-01 00:00:00","1986-06-01 00:00:00","2016-12-06 14:03:00","2019-06-15 00:00:00","2016-12-06 14:03:00","ATLAS",NULL,"32.60006,-92.650581","NO",NULL,"2004-11-11 00:00:00","2005-11-10 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","2378","0","0","0","2378","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"F817GU-MPD-2","101-400",NULL,NULL,NULL,NULL
"RENTED","7362","NEW HORIZON RESOURCES LLC","TILLER GU #1","PANOLA","TX","ARROW - VRG330","VRG330","KHA54S015",NULL,"NO",NULL,"68",NULL,NULL,NULL,"GEMINI - MPD","MPD","C2345","2","5.0 X 2.5","1984-11-01 00:00:00","1984-11-01 00:00:00","2022-10-31 00:00:00","2021-12-14 00:00:00","2022-10-31 00:00:00","ATLAS",NULL,"32.338048, -94.096684","NO",NULL,"2023-01-01 00:00:00","2023-12-31 00:00:00",NULL,"ON","ON CONTRACT","DONNIS LEWIS","RENTAL","WET","1850","0","0","0","1850","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"VRG330-MPD-2","0-100",NULL,NULL,NULL,NULL
"RENTED","7387","NEW HORIZON RESOURCES LLC","CHEROKEE #2 & #4","RUSK","TX","ARROW - VRG330","VRG330","C-3290",NULL,"NO",NULL,"68",NULL,NULL,NULL,"GEMINI - MPD","MPD","C-2840","2","5.5 X 3.0","1984-10-01 00:00:00","1984-10-01 00:00:00","2021-10-12 00:00:00","2021-10-12 00:00:00","2021-10-12 00:00:00","ATLAS",NULL,"32.350098,-94.61515","NO",NULL,"2023-01-01 00:00:00","2023-12-31 00:00:00",NULL,"ON","ON CONTRACT","DONNIS LEWIS","RENTAL","WET","1850","0","0","0","1850","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"VRG330-MPD-2","0-100",NULL,NULL,NULL,NULL
"RENTED","7411","CRESCENT PASS ENERGY LLC","APPLEBY SALES CHECK","NACOGDOCHES","TX","CATERPILLAR - G3304NA","G3304NA","N4F02742",NULL,"NO",NULL,"95","80","1800",NULL,"GEMINI - MPD","MPD","C2027","2","8.0 X 5.5","1984-12-01 00:00:00","2007-10-09 00:00:00","2020-04-22 00:00:00","2023-04-17 00:00:00","2023-04-15 00:00:00","ATLAS",NULL,"31.807041,-94.574989","NO",NULL,"2020-03-17 00:00:00","2021-03-17 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","2744","0","0","0","2744","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"G3304NA-MPD-2","0-100",NULL,NULL,NULL,NULL
"IDLE","7452",NULL,"KILGORE, TX YARD","RUSK","TX","CATERPILLAR - G3306NA","G3306NA","07Y03399",NULL,"NO",NULL,"145","130","1800",NULL,"GEMINI - MPD","MPD","C1934","2","7.5 X 5.0","1985-05-01 00:00:00","1985-05-01 00:00:00","2004-02-16 00:00:00","2019-06-15 00:00:00","2004-02-16 00:00:00","ATLAS",NULL,"32.59198,-92.670692","NO","2022-07-19 00:00:00","2022-07-25 00:00:00","2023-07-24 00:00:00","2023-06-30 00:00:00","OFF","REVIEW FOR INCREASE",NULL,"RENTAL","WET","0","0","0","0","0","N","MUSTANG GAS COMPRESSION",NULL,"OWNED",NULL,NULL,NULL,"G3306NA-MPD-2","101-400",NULL,NULL,NULL,"WEEK 26"
"RENTED","7491","AC EXPLORATION","HUBBARD GAS UNIT","RUSK","TX","ARROW - VRG330","VRG330","P3469",NULL,"NO",NULL,"68",NULL,NULL,NULL,"GEMINI - MPD","MPD","C2084","3","5.0 X 4.0 X 2.5","1985-04-01 00:00:00","1985-04-01 00:00:00","2009-04-27 00:00:00","2009-04-27 00:00:00","2023-06-12 00:00:00","ATLAS",NULL,"32.175826,-94.763128","NO",NULL,"2009-04-27 00:00:00","2016-05-01 00:00:00",NULL,"OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","1951","0","0","0","1951","N","MUSTANG GAS COMPRESSION",NULL,"OWNED","EAST TEXAS","EAST TEXAS",NULL,"VRG330-MPD-3","0-100",NULL,NULL,NULL,NULL
"IDLE ON LOCATION","7514","CRATON OPERATING","BODENHIEM","GREGG","TX","ARROW - VRG330","VRG330","401919",NULL,"NO",NULL,"68",NULL,NULL,NULL,"GEMINI - MPC","MPC","C3491","2","4.375 X 2.5","1985-05-01 00:00:00","1985-05-01 00:00:00","2015-03-27 00:00:00","2015-03-27 00:00:00","2015-03-27 00:00:00","ATLAS",NULL,"32.502735,-94.7808","NO",NULL,"2022-05-01 00:00:00","2023-04-30 00:00:00","2023-07-20 00:00:00","OFF","REVIEW FOR INCREASE","DONNIS LEWIS","RENTAL","WET","0","0","0","0","0","N","MUSTANG GAS COMPRESSION",NULL,"OWNED",NULL,NULL,NULL,"VRG330-MPC-2","0-100",NULL,NULL,NULL,"WEEK 29"
