"unit_number","week","dt_hours","ma"
"111015","W53 - 23","62.09","63.04"
"111015","W52 - 23","40.87","75.67"
"111015","W51 - 23","5.81","96.54"
"111015","W49 - 23","0","100"
"111015","W48 - 23","14.21","91.54"
"111015","W47 - 23","25.3","84.94"
"111015","W46 - 23","0","100"
"111015","W45 - 23","0","100"
"111015","W44 - 23","15.06","91.04"
"111015","W43 - 23","0","100"
"111015","W42 - 23","0","100"
"111015","W41 - 23","0","100"
"111015","W40 - 23","5.53","96.71"
"111015","W39 - 23","2.84","98.31"
"111015","W38 - 23","5.34","96.82"
"111015","W37 - 23","0","100"
"111015","W36 - 23","0","100"
"111015","W35 - 23","27.91","83.39"
"111015","W34 - 23","1.52","99.1"
"111015","W33 - 23","30.41","81.9"
"111015","W32 - 23","0","100"
"111015","W31 - 23","7.77","95.37"
"111015","W30 - 23","60.08","64.24"
"111015","W29 - 23","0.21","99.87"
"111015","W28 - 23","1.84","98.9"
"111015","W27 - 23","0","100"
"111015","W26 - 23","23.13","86.23"
"111015","W25 - 23","6.36","96.21"
"111015","W24 - 23","0","100"
"111015","W23 - 23","3.27","98.05"
"111015","W22 - 23","0.79","99.53"
"111015","W21 - 23","0","100"
"111015","W20 - 23","0","100"
"111015","W19 - 23","0","100"
"111015","W18 - 23","0","100"
"111015","W17 - 23","29.18","82.63"
"111015","W16 - 23","0","100"
"308","W53 - 23","77.06","54.13"
"308","W52 - 23","130.21","22.49"
"308","W51 - 23","1.11","99.34"
"308","W49 - 23","0","100"
"308","W48 - 23","0.53","99.68"
"308","W47 - 23","0","100"
"308","W46 - 23","2.12","98.74"
"308","W45 - 23","0","100"
"308","W44 - 23","6.85","95.92"
"308","W43 - 23","0","100"
"308","W42 - 23","0","100"
"308","W41 - 23","0","100"
"308","W40 - 23","0.55","99.67"
"308","W39 - 23","2.62","98.44"
"308","W38 - 23","0.28","99.83"
"308","W37 - 23","0","100"
"308","W36 - 23","0","100"
"308","W35 - 23","4.64","97.24"
"308","W34 - 23","111.97","33.35"
"308","W33 - 23","133.35","20.62"
"308","W32 - 23","133.39","20.6"
"308","W31 - 23","98.79","41.2"
"308","W30 - 23","167.52","0.29"
"308","W29 - 23","121.4","27.74"
"308","W28 - 23","167.99973","0"
"308","W27 - 23","167.99973","0"
"308","W26 - 23","167.99973","0"
"308","W25 - 23","77.02","54.15"
"308","W24 - 23","108.68","35.31"
"308","W23 - 23","0","100"
"308","W22 - 23","0","100"
"308","W21 - 23","23.58","85.96"
"308","W20 - 23","0","100"
"308","W19 - 23","0","100"
"308","W18 - 23","16.05","90.45"
"308","W17 - 23","0","100"
"308","W16 - 23","11.33","93.26"
"81004","W53 - 23","0","100"
"81004","W52 - 23","0","100"
"81004","W51 - 23","2.06","98.77"
"81004","W49 - 23","64.11","61.84"
"81004","W48 - 23","18.96","88.71"
"81004","W47 - 23","0","100"
"81004","W46 - 23","0","100"
"81004","W45 - 23","0","100"
"81004","W44 - 23","106.15","36.82"
"81004","W43 - 23","92.04","45.21"
"81004","W42 - 23","21.72","87.07"
"81004","W41 - 23","0","100"
"81004","W40 - 23","2.26","98.65"
"81004","W39 - 23","67","60.12"
"81004","W38 - 23","42.95","74.43"
"81004","W37 - 23","20.76","87.64"
"81004","W36 - 23","2.02","98.8"
"81004","W35 - 23","18.63","88.91"
"81004","W34 - 23","0","100"
"81004","W33 - 23","6.16","96.33"
"81004","W32 - 23","35.14","79.08"
"81004","W31 - 23","85.04","49.38"
"81004","W30 - 23","119.67","28.77"
"81004","W29 - 23","0","100"
"81004","W28 - 23","83.83","50.1"
"81004","W27 - 23","46.02","72.61"
"81004","W26 - 23","27.2","83.81"
"81004","W25 - 23","19.41","88.45"
"81004","W24 - 23","16.35","90.27"
"81004","W23 - 23","27.89","83.4"
"81004","W22 - 23","66.33","60.52"
"81004","W21 - 23","9.75","94.2"
"81004","W20 - 23","59.67","64.48"
"81004","W19 - 23","71.72","57.31"
"81004","W18 - 23","28.35","83.12"
"81004","W17 - 23","0","100"
"81004","W16 - 23","16.92","89.93"
"HC10149","W53 - 23","0","100"
"HC10149","W52 - 23","0","100"
"HC10149","W51 - 23","0","100"
"HC10149","W49 - 23","0","100"
"HC10149","W48 - 23","0","100"
"HC10149","W47 - 23","0","100"
"HC10149","W46 - 23","0","100"
"HC10149","W45 - 23","0","100"
"HC10149","W44 - 23","17.279","89.71488"
"HC10149","W43 - 23","39.251","76.63631"
"HC10149","W42 - 23","0","100"
"HC10149","W41 - 23","0","100"
"HC10149","W40 - 23","0.984","99.41428"
"HC10149","W39 - 23","0","100"
"HC10149","W38 - 23","0","100"
"HC10149","W37 - 23","28.961","82.76131"
"HC10149","W36 - 23","13.023","92.248215"
"HC10149","W35 - 23","0","100"
"HC10149","W34 - 23","12.338","92.65595"
"HC10149","W33 - 23","0","100"
"HC10149","W32 - 23","43.101","74.34464"
"HC10149","W31 - 23","5.193","96.90893"
"HC10149","W30 - 23","3.396","97.97857"
"HC10149","W29 - 23","8.414","94.99167"
"HC10149","W28 - 23","4.356","97.40714"
"HC10149","W27 - 23","37.2","77.85714"
"HC10149","W26 - 23","5.02","97.0119"
"HC10149","W25 - 23","0","100"
"HC10149","W24 - 23","9.002","94.64167"
"HC10149","W23 - 23","9.635","94.26488"
"HC10149","W22 - 23","5.001","97.02322"
"HC10149","W21 - 23","0","100"
"HC10149","W20 - 23","13.169","92.16131"
"HC10149","W19 - 23","134.24","20.095238"
"HC10149","W18 - 23","168","0"
"HC10149","W17 - 23","168","0"
"HC10149","W16 - 23","168","0"
"HC11031","W53 - 23","1.543","99.08155"
"HC11031","W52 - 23","1.915","98.86012"
"HC11031","W51 - 23","0.718","99.57262"
"HC11031","W49 - 23","3.046","98.186905"
"HC11031","W48 - 23","0","100"
"HC11031","W47 - 23","1.894","98.87262"
"HC11031","W46 - 23","0","100"
"HC11031","W45 - 23","4.139","97.53631"
"HC11031","W44 - 23","0.513","99.69464"
"HC11031","W43 - 23","13.484","91.97381"
"HC11031","W42 - 23","0","100"
"HC11031","W41 - 23","0","100"
"HC11031","W40 - 23","11.638","93.07262"
"HC11031","W39 - 23","0","100"
"HC11031","W38 - 23","1.817","98.91845"
"HC11031","W37 - 23","0","100"
"HC11031","W36 - 23","7.6","95.47619"
"HC11031","W35 - 23","7.745","95.38988"
"HC11031","W34 - 23","0.361","99.78512"
"HC11031","W33 - 23","1.399","99.16726"
"HC11031","W32 - 23","0.708","99.578575"
"HC11031","W31 - 23","0","100"
"HC11031","W30 - 23","2.197","98.69226"
"HC11031","W29 - 23","0","100"
"HC11031","W28 - 23","0","100"
"HC11031","W27 - 23","0","100"
"HC11031","W26 - 23","0.424","99.74762"
"HC11031","W25 - 23","0","100"
"HC11031","W24 - 23","0","100"
"HC11031","W23 - 23","0","100"
"HC11031","W22 - 23","0","100"
"HC11031","W21 - 23","0.798","99.525"
"HC11031","W20 - 23","0.138","99.917854"
"HC11031","W19 - 23","0.714","99.575"
"HC11031","W18 - 23","0","100"
"HC11031","W17 - 23","1.183","99.29583"
"HC11031","W16 - 23","0","100"
"HC11032","W53 - 23","0","100"
"HC11032","W52 - 23","0","100"
"HC11032","W51 - 23","0","100"
"HC11032","W49 - 23","0","100"
"HC11032","W48 - 23","0","100"
"HC11032","W47 - 23","0","100"
"HC11032","W46 - 23","0","100"
"HC11032","W45 - 23","0","100"
"HC11032","W44 - 23","0","100"
"HC11032","W43 - 23","0","100"
"HC11032","W42 - 23","0","100"
"HC11032","W41 - 23","0","100"
"HC11032","W40 - 23","0","100"
"HC11032","W39 - 23","0","100"
"HC11032","W38 - 23","0","100"
"HC11032","W37 - 23","0","100"
"HC11032","W36 - 23","0","100"
"HC11032","W35 - 23","0","100"
"HC11032","W34 - 23","0","100"
"HC11032","W33 - 23","0","100"
"HC11032","W32 - 23","0","100"
"HC11032","W31 - 23","0.26","99.84"
"HC11032","W30 - 23","17.85","89.38"
"HC11032","W29 - 23","0.19","99.89"
"HC11032","W28 - 23","0","100"
"HC11032","W27 - 23","0","100"
"HC11032","W26 - 23","4.08","97.57"
"HC11032","W25 - 23","3.31","98.03"
"HC11032","W24 - 23","2.87","98.29"
"HC11032","W23 - 23","11.52","93.14"
"HC11032","W22 - 23","1.95","98.84"
"HC11032","W21 - 23","0","100"
"HC11032","W20 - 23","0.65","99.61"
"HC11032","W19 - 23","4.02","97.61"
"HC11032","W18 - 23","0.29","99.83"
"HC11032","W17 - 23","0.62","99.63"
"HC11032","W16 - 23","9.35","94.44"
"HC11035","W53 - 23","0","100"
"HC11035","W52 - 23","0","100"
